[parameters: ('9c7aa366-c44e-4de3-80cf-14dfd883e94e', 'trial_433841377', 1, 1, 'xtls-rprx-vision', '2025-10-01 18:24:33.000000', 'vless://9c7aa366-c44e-4de3-80cf-14dfd883e94e@https://app.vnetworks.space:12299/R4hmdNyyIiVBBaY:443?type=tcp&security=tls&fp=chrome&alpn=http%2F1.1&flow=xtls-rprx-vision', None, 1)]
(Background on this error at: https://sqlalche.me/e/20/gkpj)
2025-09-28 at 11:49:32 | INFO | Бот успешно запущен
2025-09-28 at 11:49:49 | INFO | Поиск по одной записи User по фильтрам {'telegram_id': 433841377}
2025-09-28 at 11:49:50 | INFO | Запись найдена по фильтрам {'telegram_id': 433841377}
2025-09-28 at 11:49:53 | INFO | Поиск по одной записи User по фильтрам {'telegram_id': 433841377}
2025-09-28 at 11:49:53 | INFO | Запись найдена по фильтрам {'telegram_id': 433841377}
2025-09-28 at 11:50:34 | INFO | Поиск по одной записи User по фильтрам {'telegram_id': 433841377}
2025-09-28 at 11:50:35 | INFO | Запись найдена по фильтрам {'telegram_id': 433841377}
2025-09-28 at 11:50:36 | ERROR | Ошибка для добавления записи: (sqlite3.IntegrityError) NOT NULL constraint failed: vpns.price
[SQL: INSERT INTO vpns (client_uuid, email, enable, inbound_id, flow, expiry_time, access_url, price, category_id) VALUES (?, ?, ?, ?, ?, ?, ?, ?, ?) RETURNING id, created_at, updated_at]
[parameters: ('5a9dcce6-d1f0-4c20-bfac-8027f95ed246', 'trial_433841377', 1, 1, 'xtls-rprx-vision', '2025-10-05 08:50:36.000000', 'vless://5a9dcce6-d1f0-4c20-bfac-8027f95ed246@https://app.vnetworks.space:12299/R4hmdNyyIiVBBaY:443?type=tcp&security=tls&fp=chrome&alpn=http%2F1.1&flow=xtls-rprx-vision', None, 1)]
(Background on this error at: https://sqlalche.me/e/20/gkpj)
2025-09-28 at 12:07:20 | INFO | Бот остановлен!
2025-09-28 at 12:10:34 | INFO | Бот успешно запущен
